Company Name,Category,Sub Cat,Period,Value - Randomized
Potato Inc.,Revenue By Region,Americas,2022 Q3,3.37E+11
Potato Inc.,Revenue By Region,Americas,2022 Q4,2.79E+11
Potato Inc.,Revenue By Region,Americas,2023 Q1,1.97E+11
Potato Inc.,Revenue By Region,Americas,2023 Q2,1.89E+11
Potato Inc.,Revenue By Region,Americas,2023 Q3,1.77E+11
Potato Inc.,Revenue By Region,Europe,2015 Q1,86050000000
Potato Inc.,Revenue By Region,Europe,2015 Q2,85400000000
Potato Inc.,Revenue By Region,Europe,2015 Q3,62040000000
Potato Inc.,Revenue By Region,Europe,2015 Q4,84640000000
Potato Inc.,Revenue By Region,Europe,2016 Q1,89650000000
Potato Inc.,Revenue By Region,Europe,2016 Q2,80780000000
Potato Inc.,Revenue By Region,Europe,2016 Q3,28920000000
Potato Inc.,Revenue By Region,Europe,2016 Q4,54200000000
Potato Inc.,Revenue By Region,Europe,2017 Q1,37040000000
Potato Inc.,Revenue By Region,Europe,2017 Q2,50920000000
Potato Inc.,Revenue By Region,Europe,2017 Q3,53400000000
Potato Inc.,Revenue By Region,Europe,2017 Q4,39030000000
Potato Inc.,Revenue By Region,Europe,2018 Q1,1.68E+11
Potato Inc.,Revenue By Region,Europe,2018 Q2,1.11E+11
Potato Inc.,Revenue By Region,Europe,2018 Q3,97104000000
Potato Inc.,Revenue By Region,Europe,2018 Q4,76910000000
Potato Inc.,Revenue By Region,Europe,2019 Q1,81452000000
Potato Inc.,Revenue By Region,Europe,2019 Q2,52216000000
Potato Inc.,Revenue By Region,Europe,2019 Q3,59625000000
Potato Inc.,Revenue By Region,Europe,2019 Q4,1.20E+11
Potato Inc.,Revenue By Region,Europe,2020 Q1,46546000000
Potato Inc.,Revenue By Region,Europe,2020 Q2,1.14E+11
Potato Inc.,Revenue By Region,Europe,2020 Q3,28346000000
Potato Inc.,Revenue By Region,Europe,2020 Q4,1.01E+11
Potato Inc.,Revenue By Region,Europe,2021 Q1,2.18E+11
Potato Inc.,Revenue By Region,Europe,2021 Q2,1.11E+11
Potato Inc.,Revenue By Region,Europe,2021 Q3,1.14E+11
Potato Inc.,Revenue By Region,Europe,2021 Q4,83176000000
Potato Inc.,Revenue By Region,Europe,2022 Q1,2.08E+11
Potato Inc.,Revenue By Region,Europe,2022 Q2,1.16E+11
Potato Inc.,Revenue By Region,Europe,2022 Q3,1.74E+11
Potato Inc.,Revenue By Region,Europe,2022 Q4,1.82E+11
Potato Inc.,Revenue By Region,Europe,2023 Q1,1.94E+11
Potato Inc.,Revenue By Region,Europe,2023 Q2,95780000000
Potato Inc.,Revenue By Region,Europe,2023 Q3,1.62E+11
Potato Inc.,Revenue By Region,Greater China,2015 Q1,48420000000
Potato Inc.,Revenue By Region,Greater China,2015 Q2,1.01E+11
Potato Inc.,Revenue By Region,Greater China,2015 Q3,1.06E+11
Potato Inc.,Revenue By Region,Greater China,2015 Q4,1.00E+11
Potato Inc.,Revenue By Region,Greater China,2016 Q1,91850000000
Potato Inc.,Revenue By Region,Greater China,2016 Q2,1.12E+11
Potato Inc.,Revenue By Region,Greater China,2016 Q3,26550000000
Potato Inc.,Revenue By Region,Greater China,2016 Q4,52740000000
Potato Inc.,Revenue By Region,Greater China,2017 Q1,64920000000
Potato Inc.,Revenue By Region,Greater China,2017 Q2,32190000000
Potato Inc.,Revenue By Region,Greater China,2017 Q3,24000000000
Potato Inc.,Revenue By Region,Greater China,2017 Q4,58800000000
Potato Inc.,Revenue By Region,Greater China,2018 Q1,35920000000
Potato Inc.,Revenue By Region,Greater China,2018 Q2,91140000000
Potato Inc.,Revenue By Region,Greater China,2018 Q3,85959000000
Potato Inc.,Revenue By Region,Greater China,2018 Q4,79877000000
Potato Inc.,Revenue By Region,Greater China,2019 Q1,92127000000
Potato Inc.,Revenue By Region,Greater China,2019 Q2,51090000000
Potato Inc.,Revenue By Region,Greater China,2019 Q3,82413000000
Potato Inc.,Revenue By Region,Greater China,2019 Q4,77938000000
Potato Inc.,Revenue By Region,Greater China,2020 Q1,95046000000
Potato Inc.,Revenue By Region,Greater China,2020 Q2,28365000000
Potato Inc.,Revenue By Region,Greater China,2020 Q3,27987000000
Potato Inc.,Revenue By Region,Greater China,2020 Q4,31784000000
Potato Inc.,Revenue By Region,Greater China,2021 Q1,1.71E+11
Potato Inc.,Revenue By Region,Greater China,2021 Q2,1.42E+11
Potato Inc.,Revenue By Region,Greater China,2021 Q3,29524000000
Potato Inc.,Revenue By Region,Greater China,2021 Q4,72815000000
Potato Inc.,Revenue By Region,Greater China,2022 Q1,1.29E+11
Potato Inc.,Revenue By Region,Greater China,2022 Q2,91715000000
Potato Inc.,Revenue By Region,Greater China,2022 Q3,43812000000
Potato Inc.,Revenue By Region,Greater China,2022 Q4,92820000000
Potato Inc.,Revenue By Region,Greater China,2023 Q1,1.91E+11
Potato Inc.,Revenue By Region,Greater China,2023 Q2,53436000000
Potato Inc.,Revenue By Region,Greater China,2023 Q3,1.10E+11
Potato Inc.,Revenue By Region,Japan,2015 Q1,27250000000
Potato Inc.,Revenue By Region,Japan,2015 Q2,10380000000
Potato Inc.,Revenue By Region,Japan,2015 Q3,20090000000
Potato Inc.,Revenue By Region,Japan,2015 Q4,23580000000
Potato Inc.,Revenue By Region,Japan,2016 Q1,28740000000
Potato Inc.,Revenue By Region,Japan,2016 Q2,8560000000
Potato Inc.,Revenue By Region,Japan,2016 Q3,28240000000
Potato Inc.,Revenue By Region,Japan,2016 Q4,34560000000
Potato Inc.,Revenue By Region,Japan,2017 Q1,23080000000
Potato Inc.,Revenue By Region,Japan,2017 Q2,13470000000
Potato Inc.,Revenue By Region,Japan,2017 Q3,28960000000
Potato Inc.,Revenue By Region,Japan,2017 Q4,15440000000
Potato Inc.,Revenue By Region,Japan,2018 Q1,36200000000
Potato Inc.,Revenue By Region,Japan,2018 Q2,38290000000
Potato Inc.,Revenue By Region,Japan,2018 Q3,27069000000
Potato Inc.,Revenue By Region,Japan,2018 Q4,20644000000
Potato Inc.,Revenue By Region,Japan,2019 Q1,41460000000
Potato Inc.,Revenue By Region,Japan,2019 Q2,33192000000
Potato Inc.,Revenue By Region,Japan,2019 Q3,32656000000
Potato Inc.,Revenue By Region,Japan,2019 Q4,24910000000
Potato Inc.,Revenue By Region,Japan,2020 Q1,31115000000
Potato Inc.,Revenue By Region,Japan,2020 Q2,31236000000
Potato Inc.,Revenue By Region,Japan,2020 Q3,44694000000
Potato Inc.,Revenue By Region,Japan,2020 Q4,45207000000
Potato Inc.,Revenue By Region,Japan,2021 Q1,49710000000
Potato Inc.,Revenue By Region,Japan,2021 Q2,69678000000
Potato Inc.,Revenue By Region,Japan,2021 Q3,19392000000
Potato Inc.,Revenue By Region,Japan,2021 Q4,35946000000
Potato Inc.,Revenue By Region,Japan,2022 Q1,49749000000
Potato Inc.,Revenue By Region,Japan,2022 Q2,15448000000
Potato Inc.,Revenue By Region,Japan,2022 Q3,43568000000
Potato Inc.,Revenue By Region,Japan,2022 Q4,45600000000
Potato Inc.,Revenue By Region,Japan,2023 Q1,20265000000
Potato Inc.,Revenue By Region,Japan,2023 Q2,43056000000
Potato Inc.,Revenue By Region,Japan,2023 Q3,33747000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2015 Q1,41840000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2015 Q2,29470000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2015 Q3,23600000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2015 Q4,13500000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2016 Q1,27250000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2016 Q2,12640000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2016 Q3,14280000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2016 Q4,21360000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2017 Q1,46880000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2017 Q2,15200000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2017 Q3,8190000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2017 Q4,16860000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2018 Q1,20550000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2018 Q2,11880000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2018 Q3,25336000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2018 Q4,20574000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2019 Q1,20784000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2019 Q2,10845000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2019 Q3,17945000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2019 Q4,21936000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2020 Q1,36890000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2020 Q2,15540000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2020 Q3,37791000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2020 Q4,20655000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2021 Q1,24675000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2021 Q2,45264000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2021 Q3,43160000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2021 Q4,25960000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q1,39240000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q2,28168000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q3,24600000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2022 Q4,50984000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q1,38140000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q2,48714000000
Potato Inc.,Revenue By Region,Rest of Asia Pacific,2023 Q3,22520000000
Potato Inc.,Revenue By Product,Smartphones,2015 Q1,2.05E+11
Potato Inc.,Revenue By Product,Smartphones,2015 Q2,3.22E+11
Potato Inc.,Revenue By Product,Smartphones,2015 Q3,94101120000
Potato Inc.,Revenue By Product,Smartphones,2015 Q4,2.58E+11
Potato Inc.,Revenue By Product,Smartphones,2016 Q1,1.55E+11
Potato Inc.,Revenue By Product,Smartphones,2016 Q2,2.96E+11
Potato Inc.,Revenue By Product,Smartphones,2016 Q3,1.92E+11
Potato Inc.,Revenue By Product,Smartphones,2016 Q4,1.41E+11
Potato Inc.,Revenue By Product,Smartphones,2017 Q1,1.63E+11
Potato Inc.,Revenue By Product,Smartphones,2017 Q2,99841170000
Potato Inc.,Revenue By Product,Smartphones,2017 Q3,1.74E+11
Potato Inc.,Revenue By Product,Smartphones,2017 Q4,1.44E+11
Potato Inc.,Revenue By Product,Smartphones,2018 Q1,3.08E+11
Potato Inc.,Revenue By Product,Smartphones,2018 Q2,0
Potato Inc.,Revenue By Product,Smartphones,2018 Q3,1.20E+11
Potato Inc.,Revenue By Product,Smartphones,2018 Q4,2.97E+11
Potato Inc.,Revenue By Product,Smartphones,2019 Q1,3.12E+11
Potato Inc.,Revenue By Product,Smartphones,2019 Q2,2.48E+11
Potato Inc.,Revenue By Product,Smartphones,2019 Q3,1.04E+11
Potato Inc.,Revenue By Product,Smartphones,2019 Q4,1.67E+11
Potato Inc.,Revenue By Product,Smartphones,2020 Q1,2.24E+11
Potato Inc.,Revenue By Product,Smartphones,2020 Q2,86886000000
Potato Inc.,Revenue By Product,Smartphones,2020 Q3,79254000000
Potato Inc.,Revenue By Product,Smartphones,2020 Q4,1.32E+11
Potato Inc.,Revenue By Product,Smartphones,2021 Q1,4.59E+11
Potato Inc.,Revenue By Product,Smartphones,2021 Q2,2.40E+11
Potato Inc.,Revenue By Product,Smartphones,2021 Q3,79140000000
Potato Inc.,Revenue By Product,Smartphones,2021 Q4,1.17E+11
Potato Inc.,Revenue By Product,Smartphones,2022 Q1,5.73E+11
Potato Inc.,Revenue By Product,Smartphones,2022 Q2,2.53E+11
Potato Inc.,Revenue By Product,Smartphones,2022 Q3,2.03E+11
Potato Inc.,Revenue By Product,Smartphones,2022 Q4,1.28E+11
Potato Inc.,Revenue By Product,Smartphones,2023 Q1,4.60E+11
Potato Inc.,Revenue By Product,Smartphones,2023 Q2,2.05E+11
Potato Inc.,Revenue By Product,Smartphones,2023 Q3,1.59E+11
Potato Inc.,Revenue By Product,Tablets,2015 Q1,44797300000
Potato Inc.,Revenue By Product,Tablets,2015 Q2,10859472000
Potato Inc.,Revenue By Product,Tablets,2015 Q3,40845600000
Potato Inc.,Revenue By Product,Tablets,2015 Q4,17098000000
Potato Inc.,Revenue By Product,Tablets,2016 Q1,35431290000
Potato Inc.,Revenue By Product,Tablets,2016 Q2,30903327000
Potato Inc.,Revenue By Product,Tablets,2016 Q3,29253816000
Potato Inc.,Revenue By Product,Tablets,2016 Q4,12761940000
Potato Inc.,Revenue By Product,Tablets,2017 Q1,11063020000
Potato Inc.,Revenue By Product,Tablets,2017 Q2,11666655000
Potato Inc.,Revenue By Product,Tablets,2017 Q3,0
Potato Inc.,Revenue By Product,Tablets,2017 Q4,14400000000
Potato Inc.,Revenue By Product,Tablets,2018 Q1,23600000000
Potato Inc.,Revenue By Product,Tablets,2018 Q2,24600000000
Potato Inc.,Revenue By Product,Tablets,2018 Q3,28446000000
Potato Inc.,Revenue By Product,Tablets,2018 Q4,16356000000
Potato Inc.,Revenue By Product,Tablets,2019 Q1,47103000000
Potato Inc.,Revenue By Product,Tablets,2019 Q2,29232000000
Potato Inc.,Revenue By Product,Tablets,2019 Q3,23280000000
Potato Inc.,Revenue By Product,Tablets,2019 Q4,27936000000
Potato Inc.,Revenue By Product,Tablets,2020 Q1,29885000000
Potato Inc.,Revenue By Product,Tablets,2020 Q2,26208000000
Potato Inc.,Revenue By Product,Tablets,2020 Q3,39492000000
Potato Inc.,Revenue By Product,Tablets,2020 Q4,58475000000
Potato Inc.,Revenue By Product,Tablets,2021 Q1,67480000000
Potato Inc.,Revenue By Product,Tablets,2021 Q2,31228000000
Potato Inc.,Revenue By Product,Tablets,2021 Q3,44208000000
Potato Inc.,Revenue By Product,Tablets,2021 Q4,33008000000
Potato Inc.,Revenue By Product,Tablets,2022 Q1,57984000000
Potato Inc.,Revenue By Product,Tablets,2022 Q2,68814000000
Potato Inc.,Revenue By Product,Tablets,2022 Q3,21672000000
Potato Inc.,Revenue By Product,Tablets,2022 Q4,35870000000
Potato Inc.,Revenue By Product,Tablets,2023 Q1,59616000000
Potato Inc.,Revenue By Product,Tablets,2023 Q2,50176000000
Potato Inc.,Revenue By Product,Tablets,2023 Q3,46328000000
Potato Inc.,Revenue By Product,Computers,2015 Q1,20835780000
Potato Inc.,Revenue By Product,Computers,2015 Q2,28076840000
Potato Inc.,Revenue By Product,Computers,2015 Q3,36188160000
Potato Inc.,Revenue By Product,Computers,2015 Q4,34402000000
Potato Inc.,Revenue By Product,Computers,2016 Q1,20234529000
Potato Inc.,Revenue By Product,Computers,2016 Q2,15322710000
Potato Inc.,Revenue By Product,Computers,2016 Q3,36679524000
Potato Inc.,Revenue By Product,Computers,2016 Q4,28695625000
Potato Inc.,Revenue By Product,Computers,2017 Q1,57979000000
Potato Inc.,Revenue By Product,Computers,2017 Q2,52618995000
Potato Inc.,Revenue By Product,Computers,2017 Q3,39161584000
Potato Inc.,Revenue By Product,Computers,2017 Q4,50400000000
Potato Inc.,Revenue By Product,Computers,2018 Q1,34500000000
Potato Inc.,Revenue By Product,Computers,2018 Q2,35400000000
Potato Inc.,Revenue By Product,Computers,2018 Q3,21320000000
Potato Inc.,Revenue By Product,Computers,2018 Q4,51877000000
Potato Inc.,Revenue By Product,Computers,2019 Q1,29664000000
Potato Inc.,Revenue By Product,Computers,2019 Q2,44104000000
Potato Inc.,Revenue By Product,Computers,2019 Q3,25115000000
Potato Inc.,Revenue By Product,Computers,2019 Q4,48937000000
Potato Inc.,Revenue By Product,Computers,2020 Q1,50120000000
Potato Inc.,Revenue By Product,Computers,2020 Q2,26755000000
Potato Inc.,Revenue By Product,Computers,2020 Q3,49553000000
Potato Inc.,Revenue By Product,Computers,2020 Q4,20670000000
Potato Inc.,Revenue By Product,Computers,2021 Q1,60725000000
Potato Inc.,Revenue By Product,Computers,2021 Q2,27306000000
Potato Inc.,Revenue By Product,Computers,2021 Q3,49410000000
Potato Inc.,Revenue By Product,Computers,2021 Q4,36712000000
Potato Inc.,Revenue By Product,Computers,2022 Q1,54260000000
Potato Inc.,Revenue By Product,Computers,2022 Q2,52175000000
Potato Inc.,Revenue By Product,Computers,2022 Q3,59056000000
Potato Inc.,Revenue By Product,Computers,2022 Q4,23016000000
Potato Inc.,Revenue By Product,Computers,2023 Q1,61880000000
Potato Inc.,Revenue By Product,Computers,2023 Q2,46690000000
Potato Inc.,Revenue By Product,Computers,2023 Q3,34200000000
Potato Inc.,Revenue By Product,Services,2015 Q1,43171020000
Potato Inc.,Revenue By Product,Services,2015 Q2,19978644000
Potato Inc.,Revenue By Product,Services,2015 Q3,10058880000
Potato Inc.,Revenue By Product,Services,2015 Q4,40705600000
Potato Inc.,Revenue By Product,Services,2016 Q1,18163278000
Potato Inc.,Revenue By Product,Services,2016 Q2,29962725000
Potato Inc.,Revenue By Product,Services,2016 Q3,17930988000
Potato Inc.,Revenue By Product,Services,2016 Q4,37948500000
Potato Inc.,Revenue By Product,Services,2017 Q1,50183175000
Potato Inc.,Revenue By Product,Services,2017 Q2,42253926000
Potato Inc.,Revenue By Product,Services,2017 Q3,58124800000
Potato Inc.,Revenue By Product,Services,2017 Q4,42500000000
Potato Inc.,Revenue By Product,Services,2018 Q1,42500000000
Potato Inc.,Revenue By Product,Services,2018 Q2,73600000000
Potato Inc.,Revenue By Product,Services,2018 Q3,76384000000
Potato Inc.,Revenue By Product,Services,2018 Q4,59886000000
Potato Inc.,Revenue By Product,Services,2019 Q1,65250000000
Potato Inc.,Revenue By Product,Services,2019 Q2,68700000000
Potato Inc.,Revenue By Product,Services,2019 Q3,57300000000
Potato Inc.,Revenue By Product,Services,2019 Q4,75066000000
Potato Inc.,Revenue By Product,Services,2020 Q1,50860000000
Potato Inc.,Revenue By Product,Services,2020 Q2,26696000000
Potato Inc.,Revenue By Product,Services,2020 Q3,1.18E+11
Potato Inc.,Revenue By Product,Services,2020 Q4,29098000000
Potato Inc.,Revenue By Product,Services,2021 Q1,1.10E+11
Potato Inc.,Revenue By Product,Services,2021 Q2,67604000000
Potato Inc.,Revenue By Product,Services,2021 Q3,87430000000
Potato Inc.,Revenue By Product,Services,2021 Q4,91385000000
Potato Inc.,Revenue By Product,Services,2022 Q1,1.37E+11
Potato Inc.,Revenue By Product,Services,2022 Q2,79284000000
Potato Inc.,Revenue By Product,Services,2022 Q3,1.37E+11
Potato Inc.,Revenue By Product,Services,2022 Q4,1.73E+11
Potato Inc.,Revenue By Product,Services,2023 Q1,1.25E+11
Potato Inc.,Revenue By Product,Services,2023 Q2,1.67E+11
Potato Inc.,Revenue By Product,Services,2023 Q3,63639000000
Potato Inc.,Revenue By Product,Other,2015 Q1,13428000000
Potato Inc.,Revenue By Product,Other,2015 Q2,13504728000
Potato Inc.,Revenue By Product,Other,2015 Q3,10554880000
Potato Inc.,Revenue By Product,Other,2015 Q4,24390400000
Potato Inc.,Revenue By Product,Other,2016 Q1,17389404000
Potato Inc.,Revenue By Product,Other,2016 Q2,13138086000
Potato Inc.,Revenue By Product,Other,2016 Q3,15537648000
Potato Inc.,Revenue By Product,Other,2016 Q4,14223660000
Potato Inc.,Revenue By Product,Other,2017 Q1,24163140000
Potato Inc.,Revenue By Product,Other,2017 Q2,11492052000
Potato Inc.,Revenue By Product,Other,2017 Q3,16200000000
Potato Inc.,Revenue By Product,Other,2017 Q4,25600000000
Potato Inc.,Revenue By Product,Other,2018 Q1,33000000000
Potato Inc.,Revenue By Product,Other,2018 Q2,24000000000
Potato Inc.,Revenue By Product,Other,2018 Q3,26180000000
Potato Inc.,Revenue By Product,Other,2018 Q4,16936000000
Potato Inc.,Revenue By Product,Other,2019 Q1,21924000000
Potato Inc.,Revenue By Product,Other,2019 Q2,20516000000
Potato Inc.,Revenue By Product,Other,2019 Q3,11050000000
Potato Inc.,Revenue By Product,Other,2019 Q4,13040000000
Potato Inc.,Revenue By Product,Other,2020 Q1,50050000000
Potato Inc.,Revenue By Product,Other,2020 Q2,31420000000
Potato Inc.,Revenue By Product,Other,2020 Q3,12900000000
Potato Inc.,Revenue By Product,Other,2020 Q4,63008000000
Potato Inc.,Revenue By Product,Other,2021 Q1,1.04E+11
Potato Inc.,Revenue By Product,Other,2021 Q2,47016000000
Potato Inc.,Revenue By Product,Other,2021 Q3,26325000000
Potato Inc.,Revenue By Product,Other,2021 Q4,26355000000
Potato Inc.,Revenue By Product,Other,2022 Q1,58804000000
Potato Inc.,Revenue By Product,Other,2022 Q2,79254000000
Potato Inc.,Revenue By Product,Other,2022 Q3,32336000000
Potato Inc.,Revenue By Product,Other,2022 Q4,48250000000
Potato Inc.,Revenue By Product,Other,2023 Q1,80892000000
Potato Inc.,Revenue By Product,Other,2023 Q2,35028000000
Potato Inc.,Revenue By Product,Other,2023 Q3,24852000000
